archetype,fixed_baseline_cap_ratio,demand_scale,PV_potential_scale,wind_potential_scale,grid_existing_capacity_scale,renewable_adequacy_ratio,grid_interface_adequacy_ratio,experiment_id,run_id,dataset_id,spatial_resolution,temporal_mode,technology_set,grid_carbon_scenario,co2_cap_ratio,objective_name,solver_name,solver_status,objective_value,solver_objective_value,is_valid_result,invalid_reason,runtime_seconds,timestamp,git_commit,input_hash,pv_mw,wind_mw,bess_power_mw,bess_energy_mwh,ldes_power_mw,ldes_energy_mwh,grid_expansion_mw,total_grid_interface_mw,E_ref_grid_only_ton,E_lc_unconstrained_ton,E_min_techset_ton,co2_cap_ton,actual_emissions_ton,reduction_vs_grid_only,reduction_vs_unconstrained_lc,cap_violation_ton,cap_violation_ratio,pv_cost,wind_cost,bess_power_cost,bess_energy_cost,bess_degradation_cost,bess_replacement_proxy_cost,ldes_power_cost,ldes_energy_cost,grid_purchase_cost,grid_expansion_cost,demand_response_cost,ev_flexibility_cost,thermal_flexibility_cost,load_shedding_penalty,total_system_cost,pv_curtailment_mwh,wind_curtailment_mwh,pv_generation_mwh,wind_generation_mwh,bess_charge_mwh,bess_discharge_mwh,bess_throughput_mwh,bess_equivalent_full_cycles,bess_cycling_degradation_cost_yuan,bess_calendar_ageing_cost_yuan,bess_average_duration_h,bess_max_duration_h,ldes_charge_mwh,ldes_discharge_mwh,ldes_equivalent_full_cycles,grid_import_mwh,peak_grid_import_mw,DR_shifted_mwh,DR_peak_reduction_mw,thermal_shifted_mwh,thermal_peak_reduction_mw,EV_charge_mwh,EV_discharge_mwh,actual_emissions_mt,total_system_cost_billion_cny
compact_high_density,0.4,1.25,0.75,0.7,0.8,0.6777938695105755,0.7057944876337652,R3A_transferability_archetypes,r3a_001_compact_high_density_capfix0p40,xinwu_k100,k100,repday_opt,base_with_storage_degradation,baseline,0.319999999908214,min_cost,scipy-linprog-highs,optimal,9993960901.438614,9993960901.438332,True,,53.511327199987136,2026-06-05T08:44:22.527029+00:00,f614d91,2c941fba5ff5031048f0b3d43b5911a61c89f890991e5492e2764b913fb37896,3847.9559599170193,564.7675916747808,6619.434241340153,26477.73696536061,0.0,0.0,120.67172500691326,3201.6810336509134,6034034.196450206,3305740.111462247,1746146.4579439654,1930890.9423102264,1930890.9423102275,0.6800000000917859,0.4158975366469069,9.313225746154783e-10,4.823279006639245e-16,1793661529.8421202,582991050.4123719,645354596.1201521,4425288659.109614,679550159.1758127,0.0,0.0,0.0,1858698338.0710545,8416568.707488138,0.0,0.0,0.0,0.0,9993960901.438614,119122.3536220716,57026.93344731336,4466430.2048373055,1455742.7930523227,3147390.0879978584,4088956.223831849,7236346.3118297085,193.03746715501063,361817315.59148544,317732843.58432734,4.0,4.0,0.0,0.0,0.0,3229994.88509573,2998.4450441635963,0.0,0.0,0.0,0.0,0.0,0.0,1.9308909423102276,9.993960901438614
industrial_load_district,0.25,1.2,1.0,1.1,0.9,0.9731333225799877,0.8271029151958185,R3A_transferability_archetypes,r3a_008_industrial_load_district_capfix0p25,xinwu_k100,k100,repday_opt,base_with_storage_degradation,baseline,0.2083333250364147,min_cost,scipy-linprog-highs,optimal,10326220873.603783,10326220873.60357,True,,45.424425900011556,2026-06-05T08:49:28.983033+00:00,f614d91,bf18764f6db12db61e5191b2c99206493aead681025e1c5537182326cd2bb2e8,5137.781852549999,957.7502783882916,6542.365659858865,26169.46263943546,0.0,0.0,14.208469872856844,3480.343942097357,5792673.057625097,2934677.078715999,1051833.9284982798,1206806.8389438917,1206806.8389438884,0.7916666749635859,0.5887769568596286,0.0,0.0,2394892705.019068,988654181.049151,637840877.9590453,4373766020.290597,659074144.272424,0.0,0.0,0.0,1271001937.6925492,991007.3209471714,0.0,0.0,0.0,0.0,10326220873.603785,845673.5806877336,730978.3656673875,5276945.5355858505,1834423.1340821304,3170471.141821952,3730340.710162017,6900811.851983969,178.18195015880204,345040592.59919846,314033551.6732255,4.0,4.0,0.0,0.0,0.0,2018746.8031848248,2174.704511773847,0.0,0.0,0.0,0.0,0.0,0.0,1.2068068389438884,10.326220873603784
industrial_load_district,0.4,1.2,1.0,1.1,0.9,0.9731333225799877,0.8271029151958185,R3A_transferability_archetypes,r3a_007_industrial_load_district_capfix0p40,xinwu_k100,k100,repday_opt,base_with_storage_degradation,baseline,0.3333333200582635,min_cost,scipy-linprog-highs,optimal,7118657847.859058,7118657847.859103,True,,44.748355599993374,2026-06-05T08:48:32.906376+00:00,f614d91,952e8203e80c48e1c7d3a48c3e83b42472d8cfcccb17095bb912c9011d0bca58,4818.576410406495,629.0841244747378,2531.65749497298,10126.62997989192,0.0,0.0,0.0,3466.1354722245,5792673.057625097,2934677.078715999,1051833.9284982798,1930890.9423102264,1930890.9423102308,0.6666666799417358,0.3420431309754026,4.423782229423523e-09,2.2910575281536417e-15,2246100325.986384,649382896.4896883,246821214.71639025,1692488329.4838188,424521236.50400233,0.0,0.0,0.0,1859343844.6787744,0.0,0.0,0.0,0.0,0.0,7118657847.859058,743858.3580059729,171804.96680481432,4998368.324689222,1513241.117558541,3055826.4105283064,3004207.1243776786,6060033.534905985,370.8300701150114,303001676.7452993,121519559.75870304,4.0,4.0,0.0,0.0,0.0,3229994.885095736,2766.570768695568,0.0,0.0,0.0,0.0,0.0,0.0,1.9308909423102307,7.118657847859058
pv_rich_low_density,0.14,0.8,1.3,1.0,1.0,1.7747260692657671,1.3785048586596973,R3A_transferability_archetypes,r3a_006_pv_rich_low_density_capfix0p14,xinwu_k100,k100,repday_opt,base_with_storage_degradation,baseline,0.1749999970202926,min_cost,scipy-linprog-highs,optimal,5456188963.336771,5456188963.336728,True,,28.392489399993792,2026-06-05T08:47:37.322326+00:00,f614d91,f8096d567ed4390ba45feb598c466fc0a7d847826cb53b1ceae270e057044e18,4504.192097794844,413.0073284109887,2501.4835956624274,10005.93438264971,0.0,0.0,0.0,3851.261635805,3861781.950374625,1907339.8345801227,223973.5646725679,675811.8298085793,675811.8298085772,0.8250000029797079,0.645678332955622,0.0,0.0,2099555237.375355,426333911.09485215,243879442.97382677,1672316180.391955,354697246.85527194,0.0,0.0,0.0,659406944.6455098,0.0,0.0,0.0,0.0,0.0,5456188963.336771,984055.7732228657,155022.6603984787,4383523.745093935,951246.5243999588,2348899.6421809243,2343621.043088584,4692520.6852695085,292.7788841930173,234626034.26347545,120071212.59179652,4.0,4.0,0.0,0.0,0.0,1130498.2097835017,1667.9206507418337,0.0,0.0,0.0,0.0,0.0,0.0,0.6758118298085772,5.456188963336771
pv_rich_low_density,0.25,0.8,1.3,1.0,1.0,1.7747260692657671,1.3785048586596973,R3A_transferability_archetypes,r3a_005_pv_rich_low_density_capfix0p25,xinwu_k100,k100,repday_opt,base_with_storage_degradation,baseline,0.3124999946790939,min_cost,scipy-linprog-highs,optimal,4524350809.612995,4524350809.613004,True,,38.71161349999602,2026-06-05T08:46:58.787108+00:00,f614d91,0458831e3b00cd8b70c8d4d15676b0c144b51df839f0a88c93741497d1e99bc0,3416.2490411031963,428.2696687249433,1374.8931379620503,5499.389999925542,0.0,0.0,0.0,3851.261635805,3861781.950374625,1907339.8345801227,223973.5646725679,1206806.8389438917,1206806.8389438903,0.6875000053209063,0.3672827374207522,0.0,0.0,1592428433.489394,442088724.1233364,134043722.37984926,919126443.1144286,250188448.3182836,0.0,0.0,0.0,1186475038.1877031,0.0,0.0,0.0,0.0,0.0,4524350809.612995,716909.8807377669,108192.36510518903,3354183.887992108,1038958.0719514004,1817907.124663412,1866008.2417201304,3683915.366383542,424.1398231770693,184195768.31917712,65992679.9991065,3.999867224646324,4.0,0.0,0.0,0.0,2018746.8031848285,1574.9877300659884,0.0,0.0,0.0,0.0,0.0,0.0,1.2068068389438904,4.524350809612995
pv_rich_low_density,0.4,0.8,1.3,1.0,1.0,1.7747260692657671,1.3785048586596973,R3A_transferability_archetypes,r3a_004_pv_rich_low_density_capfix0p40,xinwu_k100,k100,repday_opt,base_with_storage_degradation,baseline,0.4999999914865503,min_cost,scipy-linprog-highs,optimal,4164878105.797013,4164878105.7970295,True,,4.091078400000697,2026-06-05T08:46:10.126954+00:00,f614d91,5c0527c0908bbf4580f8fecf0db42e0d93e0e9bc5ace7379b79d04b7e6894ad8,2221.796363665253,403.3337184404344,648.1495246153963,2353.8266865219325,0.0,0.0,0.0,3851.261635805,3861781.950374625,1907339.8345801227,223973.5646725679,1930890.9423102264,1907339.8345801227,0.5060985164128454,0.0,0.0,0.0,1035653917.6023777,416348160.9895936,63190638.26804517,393400786.2908462,139391861.32503447,0.0,0.0,0.0,2116892741.321116,0.0,0.0,0.0,0.0,0.0,4164878105.797013,461531.5860942624,92989.90274632712,2186150.483531256,987367.8371938394,1063522.924028435,1159395.8977069906,2222918.8217354254,615.6973580222149,111145941.08677128,28245920.23826319,3.631610603924555,4.0,0.0,0.0,0.0,3190598.585781404,1643.5397405375622,0.0,0.0,0.0,0.0,0.0,0.0,1.9073398345801227,4.164878105797013
strong_grid_district,0.14,1.0,1.0,1.0,1.5,1.1448978643489696,1.654205830391637,R3A_transferability_archetypes,r3a_015_strong_grid_district_capfix0p14,xinwu_k100,k100,repday_opt,base_with_storage_degradation,baseline,0.14,min_cost,scipy-linprog-highs,optimal,10722882634.181005,10722882634.181002,True,,29.619637399999192,2026-06-05T08:54:34.682599+00:00,f614d91,466a0a63ee074478f7f793ca5c3d777c06089d31397b3e7720904123f023e7f2,5126.223180569199,856.7612389004349,7817.268834873616,31269.075339494462,0.0,0.0,0.0,5776.892453707499,4827227.355775566,2411564.955516815,674001.4173518054,675811.8298085793,675811.8298085817,0.8599999999999994,0.7197621286283162,2.444721758365631e-09,3.617459254979434e-15,2389504819.740757,884406509.8317392,762136186.833867,5226076709.717944,707664593.1833718,0.0,0.0,0.0,753093814.8733253,0.0,0.0,0.0,0.0,0.0,10722882634.181004,759490.914618606,639606.1947112334,5349353.902149979,1655289.0580483193,3354433.8697156245,3294279.912473139,6648713.782188763,131.6908109972272,332435689.1094382,375228904.0739336,4.0,4.0,0.0,0.0,0.0,1130498.2097835091,1489.5495790341513,0.0,0.0,0.0,0.0,0.0,0.0,0.6758118298085818,10.722882634181003
strong_grid_district,0.25,1.0,1.0,1.0,1.5,1.1448978643489696,1.654205830391637,R3A_transferability_archetypes,r3a_014_strong_grid_district_capfix0p25,xinwu_k100,k100,repday_opt,base_with_storage_degradation,baseline,0.25,min_cost,scipy-linprog-highs,optimal,6595777846.292344,6595777846.292296,True,,32.010296099993866,2026-06-05T08:53:54.515623+00:00,f614d91,5a3a386c51d35f6bc06d8fd3f868f33fb2012806326807b73ac7426274427513,4772.042311790853,512.2936635254919,2922.244226186649,11688.976904746598,0.0,0.0,0.0,5776.892453707499,4827227.355775566,2411564.955516815,674001.4173518054,1206806.8389438917,1206806.838943894,0.7499999999999994,0.4995752296934225,2.561137080192566e-09,2.122242762921268e-15,2224409219.491871,528823936.4667943,284901046.4636508,1953607175.750748,397912571.1836052,0.0,0.0,0.0,1206123896.935675,0.0,0.0,0.0,0.0,0.0,6595777846.292344,887595.6297888258,185735.81941487725,4799177.051565056,1186478.798921837,2541156.2037326638,2611740.762800257,5152896.9665329205,279.2952693896263,257644848.3266461,140267722.85695916,4.0,4.0,0.0,0.0,0.0,2018746.8031848343,2114.1128001120187,0.0,0.0,0.0,0.0,0.0,0.0,1.206806838943894,6.595777846292344
strong_grid_district,0.4,1.0,1.0,1.0,1.5,1.1448978643489696,1.654205830391637,R3A_transferability_archetypes,r3a_013_strong_grid_district_capfix0p40,xinwu_k100,k100,repday_opt,base_with_storage_degradation,baseline,0.4,min_cost,scipy-linprog-highs,optimal,5370927181.829311,5370927181.829329,True,,49.01998749998165,2026-06-05T08:53:12.371880+00:00,f614d91,d3ffdd8f761b00a3f26e4fee9f3eb0c77dc54f81954fa56bd8c5d5db18d5a879,3467.423464392603,522.2803372280123,1264.6981653725877,5014.925390720918,0.0,0.0,0.0,5776.892453707499,4827227.355775566,2411564.955516815,674001.4173518054,1930890.9423102264,1930890.942310225,0.6000000000000003,0.1993203675094782,0.0,0.0,1616282551.1877794,539132851.9884744,123300382.47538848,838156693.1823277,254925849.84595323,0.0,0.0,0.0,1999128853.1493888,0.0,0.0,0.0,0.0,0.0,5370927181.829311,689810.0696720983,126582.9089582357,3442267.507107253,1272381.7174672976,1882295.9000385,2012639.003107544,3894934.903146044,501.66224975936734,194746745.1573022,60179104.68865101,3.965314039372778,4.0,0.0,0.0,0.0,3229994.8850957267,2013.4553754864528,0.0,0.0,0.0,0.0,0.0,0.0,1.930890942310225,5.370927181829312
weak_grid_district,0.14,1.0,1.0,1.0,0.6,1.1448978643489696,0.6616823321566548,R3A_transferability_archetypes,r3a_012_weak_grid_district_capfix0p14,xinwu_k100,k100,repday_opt,base_with_storage_degradation,baseline,0.14,min_cost,scipy-linprog-highs,optimal,10725803043.400553,10725803043.400558,True,,29.959685999987414,2026-06-05T08:52:12.953207+00:00,f614d91,211936f0e2f822c2a0415ee32a100a1f0dbd3ba9e14e3beb6516bdbbd5585fb8,5126.223180569199,856.7612389004349,7817.268834873616,31269.075339494462,0.0,0.0,41.87092476231634,2352.627906245317,4827227.355775566,2411564.3232950447,674001.4173518054,675811.8298085793,675811.8298085817,0.8599999999999994,0.7197620551604507,2.444721758365631e-09,3.617459254979434e-15,2389504819.740757,884406509.8317392,762136186.833867,5226076709.717944,707664593.1833718,0.0,0.0,0.0,753093825.6723826,2920398.420490901,0.0,0.0,0.0,0.0,10725803043.400553,759190.194394833,639906.9149350062,5349654.62237375,1654988.3378245467,3354433.869715625,3294279.912473139,6648713.782188764,131.69081099722715,332435689.1094382,375228904.0739336,4.0,4.0,0.0,0.0,0.0,1130498.209783509,1081.1798573067108,0.0,0.0,0.0,0.0,0.0,0.0,0.6758118298085818,10.725803043400553
